prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.269
0,0,1,32,11.626
0,0,1,64,14.0803
0,0,1,128,19.797
0,0,1,256,19.9997
0,0,1,512,20.7573
0,0,1,1024,29.3007
0,0,1,2048,34.549
0,0,1,4096,52.3413
0,0,1,8192,87.37
0,0,1,16384,150.719
0,0,2,16,10.347
0,0,2,32,12.8633
0,0,2,64,15.4343
0,0,2,128,21.994
0,0,2,256,22.8897
0,0,2,512,30.1023
0,0,2,1024,36.885
0,0,2,2048,54.3253
0,0,2,4096,90.773
0,0,2,8192,155.572
0,0,2,16384,288.969
0,0,4,16,10.6773
0,0,4,32,13.387
0,0,4,64,16.2987
0,0,4,128,23.2853
0,0,4,256,30.0477
0,0,4,512,37.5683
0,0,4,1024,55.5403
0,0,4,2048,91.1137
0,0,4,4096,157.46
0,0,4,8192,290.057
0,0,4,16384,555.367
0,0,8,16,11.2317
0,0,8,32,14.4967
0,0,8,64,17.6
0,0,8,128,31.082
0,0,8,256,38.2817
0,0,8,512,55.9563
0,0,8,1024,90.6663
0,0,8,2048,156.106
0,0,8,4096,289.289
0,0,8,8192,553.576
0,0,8,16384,1085.12
0,0,16,16,14.4637
0,0,16,32,20.074
0,0,16,64,25.0237
0,0,16,128,34.5707
0,0,16,256,52.3307
0,0,16,512,86.0793
0,0,16,1024,153.044
0,0,16,2048,286.687
0,0,16,4096,551.88
0,0,16,8192,1083.34
0,0,16,16384,2140.93
0,0,32,16,20.9493
0,0,32,32,30.6453
0,0,32,64,40.5013
0,0,32,128,58.1653
0,0,32,256,90.7417
0,0,32,512,157.344
0,0,32,1024,288.371
0,0,32,2048,551.752
0,0,32,4096,1074.3
0,0,32,8192,2123.84
0,0,32,16384,4212.24
0,0,64,16,32.9387
0,0,64,32,49.92
0,0,64,64,68.1917
0,0,64,128,102.922
0,0,64,256,167.498
0,0,64,512,298.153
0,0,64,1024,556.37
0,0,64,2048,1074.71
0,0,64,4096,2108.72
0,0,64,8192,4181.83
0,0,64,16384,8330.22
0,0,128,16,57.5467
0,0,128,32,89.8017
0,0,128,64,120.447
0,0,128,128,188.34
0,0,128,256,316.073
0,0,128,512,572.382
0,0,128,1024,1083.38
0,0,128,2048,2104.43
0,0,128,4096,4154.34
0,0,128,8192,8256.05
0,0,256,16,106.154
0,0,256,32,166.527
0,0,256,64,228.468
0,0,256,128,360.553
0,0,256,256,602.845
0,0,256,512,1099.38
0,0,256,1024,2083.59
0,0,256,2048,4059.1
0,0,256,4096,8018.08
16,0,0,0,10.8477
16,0,1,16,17.462
16,0,1,32,19.8827
16,0,1,64,22.4853
16,0,1,128,28.7047
16,0,1,256,28.9487
16,0,1,512,29.856
16,0,1,1024,37.2373
16,0,1,2048,41.5463
16,0,1,4096,59.2317
16,0,1,8192,93.5677
16,0,1,16384,156.906
16,0,2,16,17.2587
16,0,2,32,19.7327
16,0,2,64,22.3887
16,0,2,128,29.0877
16,0,2,256,29.9627
16,0,2,512,37.2157
16,0,2,1024,45.1943
16,0,2,2048,62.612
16,0,2,4096,98.6663
16,0,2,8192,164.085
16,0,2,16384,297.428
16,0,4,16,17.504
16,0,4,32,20.1497
16,0,4,64,23.264
16,0,4,128,30.357
16,0,4,256,36.7147
16,0,4,512,45.397
16,0,4,1024,62.2397
16,0,4,2048,97.4827
16,0,4,4096,165.546
16,0,4,8192,297.342
16,0,4,16384,561.075
16,0,8,16,18.2827
16,0,8,32,21.2903
16,0,8,64,24.5013
16,0,8,128,38.0163
16,0,8,256,45.6307
16,0,8,512,62.6343
16,0,8,1024,97.3973
16,0,8,2048,163.263
16,0,8,4096,295.828
16,0,8,8192,561.341
16,0,8,16384,1090.01
16,0,16,16,21.387
16,0,16,32,27.0933
16,0,16,64,32.0427
16,0,16,128,42.176
16,0,16,256,59.743
16,0,16,512,93.503
16,0,16,1024,160.554
16,0,16,2048,294.143
16,0,16,4096,560.702
16,0,16,8192,1090.97
16,0,16,16384,2149.73
16,0,32,16,28.1067
16,0,32,32,37.781
16,0,32,64,48.2767
16,0,32,128,65.9937
16,0,32,256,99.0723
16,0,32,512,165.109
16,0,32,1024,296.191
16,0,32,2048,557.779
16,0,32,4096,1080.46
16,0,32,8192,2132
16,0,32,16384,4219.77
16,0,64,16,41.4397
16,0,64,32,58.6133
16,0,64,64,77.4187
16,0,64,128,112.266
16,0,64,256,176.831
16,0,64,512,308.574
16,0,64,1024,564.936
16,0,64,2048,1084.37
16,0,64,4096,2117.84
16,0,64,8192,4188.99
16,0,64,16384,8334.01
16,0,128,16,65.5567
16,0,128,32,97.8133
16,0,128,64,129.354
16,0,128,128,196.651
16,0,128,256,324.362
16,0,128,512,581.341
16,0,128,1024,1090.6
16,0,128,2048,2115.39
16,0,128,4096,4160.96
16,0,128,8192,8394.02
16,16,0,0,11.104
16,16,1,16,17.7593
16,16,1,32,20.1493
16,16,1,64,22.7517
16,16,1,128,28.8853
16,16,1,256,29.3547
16,16,1,512,30.2503
16,16,1,1024,36.917
16,16,1,2048,41.78
16,16,1,4096,59.7967
16,16,1,8192,93.952
16,16,1,16384,157.951
16,16,2,16,17.493
16,16,2,32,20.0213
16,16,2,64,22.6773
16,16,2,128,29.428
16,16,2,256,30.123
16,16,2,512,37.1837
16,16,2,1024,44.9283
16,16,2,2048,63.0397
16,16,2,4096,98.165
16,16,2,8192,163.849
16,16,2,16384,298.302
16,16,4,16,17.866
16,16,4,32,20.533
16,16,4,64,23.6053
16,16,4,128,30.6457
16,16,4,256,37.4613
16,16,4,512,45.877
16,16,4,1024,62.4747
16,16,4,2048,98.3047
16,16,4,4096,166.112
16,16,4,8192,297.353
16,16,4,16384,563.453
16,16,8,16,18.5277
16,16,8,32,21.621
16,16,8,64,24.693
16,16,8,128,38.709
16,16,8,256,46.2927
16,16,8,512,63.3177
16,16,8,1024,97.93
16,16,8,2048,163.466
16,16,8,4096,296.66
16,16,8,8192,561.373
16,16,8,16384,1093.82
16,16,16,16,21.7177
16,16,16,32,27.509
16,16,16,64,32.3093
16,16,16,128,42.4427
16,16,16,256,59.9787
16,16,16,512,93.418
16,16,16,1024,161.226
16,16,16,2048,294.932
16,16,16,4096,559.54
16,16,16,8192,1091.18
16,16,16,16384,2151.22
16,16,32,16,28.234
16,16,32,32,38.0797
16,16,32,64,48.234
16,16,32,128,66.0797
16,16,32,256,99.22
16,16,32,512,165.738
16,16,32,1024,296.308
16,16,32,2048,558.888
16,16,32,4096,1083.39
16,16,32,8192,2129.88
16,16,32,16384,4220.57
16,16,64,16,41.8983
16,16,64,32,59.1143
16,16,64,64,77.3973
16,16,64,128,112.384
16,16,64,256,178.271
16,16,64,512,307.22
16,16,64,1024,567.411
16,16,64,2048,1082.88
16,16,64,4096,2117.79
16,16,64,8192,4192.29
16,16,64,16384,8335.76
16,16,128,16,66.4423
16,16,128,32,98.4313
16,16,128,64,129.375
16,16,128,128,197.322
16,16,128,256,324.809
16,16,128,512,581.385
16,16,128,1024,1093.02
16,16,128,2048,2113.84
16,16,128,4096,4165.96
16,16,128,8192,8259.81
16,32,0,0,13.419
16,32,1,16,20.0107
16,32,1,32,22.485
16,32,1,64,25.1623
16,32,1,128,31.2747
16,32,1,256,31.6587
16,32,1,512,32.3623
16,32,1,1024,39.5097
16,32,1,2048,44.3303
16,32,1,4096,62.614
16,32,1,8192,96.9807
16,32,1,16384,160.256
16,32,2,16,19.8077
16,32,2,32,22.3253
16,32,2,64,24.9383
16,32,2,128,31.722
16,32,2,256,32.501
16,32,2,512,39.562
16,32,2,1024,46.8267
16,32,2,2048,64.544
16,32,2,4096,100.586
16,32,2,8192,165.994
16,32,2,16384,299.743
16,32,4,16,20.064
16,32,4,32,22.8583
16,32,4,64,25.7707
16,32,4,128,32.8747
16,32,4,256,39.4667
16,32,4,512,47.8397
16,32,4,1024,65.611
16,32,4,2048,100.416
16,32,4,4096,167.818
16,32,4,8192,301.118
16,32,4,16384,567.113
16,32,8,16,20.9287
16,32,8,32,23.9253
16,32,8,64,26.9543
16,32,8,128,40.875
16,32,8,256,47.936
16,32,8,512,65.098
16,32,8,1024,100.619
16,32,8,2048,166.539
16,32,8,4096,298.963
16,32,8,8192,564.627
16,32,8,16384,1095.4
16,32,16,16,24.022
16,32,16,32,29.6863
16,32,16,64,34.7837
16,32,16,128,44.9177
16,32,16,256,62.3247
16,32,16,512,96.33
16,32,16,1024,163.775
16,32,16,2048,296.926
16,32,16,4096,563.048
16,32,16,8192,1096.73
16,32,16,16384,2159.14
16,32,32,16,30.634
16,32,32,32,40.352
16,32,32,64,50.9757
16,32,32,128,68.5327
16,32,32,256,101.087
16,32,32,512,167.723
16,32,32,1024,298.143
16,32,32,2048,560.946
16,32,32,4096,1082.7
16,32,32,8192,2131.32
16,32,32,16384,4220.93
16,32,64,16,44.7147
16,32,64,32,61.29
16,32,64,64,80.1383
16,32,64,128,114.945
16,32,64,256,179.508
16,32,64,512,310.26
16,32,64,1024,567.763
16,32,64,2048,1086.38
16,32,64,4096,2121.91
16,32,64,8192,4190.2
16,32,64,16384,8333.26
16,32,128,16,68.458
16,32,128,32,100.596
16,32,128,64,131.903
16,32,128,128,199.114
16,32,128,256,327.518
16,32,128,512,585.043
16,32,128,1024,1096.04
16,32,128,2048,2116.76
16,32,128,4096,4167.24
16,32,128,8192,8261.42
16,64,0,0,16.0427
16,64,1,16,22.6027
16,64,1,32,25.0347
16,64,1,64,27.5203
16,64,1,128,33.8137
16,64,1,256,34.251
16,64,1,512,34.9443
16,64,1,1024,42.4107
16,64,1,2048,46.634
16,64,1,4096,64.3087
16,64,1,8192,99.8707
16,64,1,16384,163.925
16,64,2,16,22.3893
16,64,2,32,24.8423
16,64,2,64,27.5623
16,64,2,128,34.3463
16,64,2,256,35.061
16,64,2,512,42.0803
16,64,2,1024,49.675
16,64,2,2048,67.5947
16,64,2,4096,102.933
16,64,2,8192,170.122
16,64,2,16384,302.634
16,64,4,16,22.7947
16,64,4,32,25.3653
16,64,4,64,28.3623
16,64,4,128,35.4457
16,64,4,256,42.293
16,64,4,512,50.6027
16,64,4,1024,67.6587
16,64,4,2048,104.042
16,64,4,4096,170.26
16,64,4,8192,303.242
16,64,4,16384,568.05
16,64,8,16,23.4453
16,64,8,32,26.4747
16,64,8,64,29.4933
16,64,8,128,43.4453
16,64,8,256,51.1997
16,64,8,512,68.0843
16,64,8,1024,103.082
16,64,8,2048,168.128
16,64,8,4096,302.474
16,64,8,8192,565.661
16,64,8,16384,1098.52
16,64,16,16,26.5803
16,64,16,32,32.3093
16,64,16,64,37.1413
16,64,16,128,47.115
16,64,16,256,64.5647
16,64,16,512,98.8157
16,64,16,1024,166.218
16,64,16,2048,300.714
16,64,16,4096,564.562
16,64,16,8192,1096.24
16,64,16,16384,2158.04
16,64,32,16,33.28
16,64,32,32,42.9227
16,64,32,64,53.5567
16,64,32,128,71.562
16,64,32,256,103.829
16,64,32,512,171.135
16,64,32,1024,301.194
16,64,32,2048,562.633
16,64,32,4096,1086.75
16,64,32,8192,2138.23
16,64,32,16384,4224.55
16,64,64,16,46.6557
16,64,64,32,64.0633
16,64,64,64,82.8583
16,64,64,128,116.949
16,64,64,256,181.45
16,64,64,512,312.521
16,64,64,1024,570.505
16,64,64,2048,1087.93
16,64,64,4096,2122.33
16,64,64,8192,4197.41
16,64,64,16384,8339.19
16,64,128,16,70.8793
16,64,128,32,102.805
16,64,128,64,134.965
16,64,128,128,201.524
16,64,128,256,329.396
16,64,128,512,587.774
16,64,128,1024,1100.28
16,64,128,2048,2120.34
16,64,128,4096,4169.54
16,64,128,8192,8263.46
16,128,0,0,25.3227
16,128,1,16,32.2237
16,128,1,32,34.4537
16,128,1,64,37.163
16,128,1,128,43.6687
16,128,1,256,44.0633
16,128,1,512,44.661
16,128,1,1024,52.4263
16,128,1,2048,56.8743
16,128,1,4096,74.7413
16,128,1,8192,108.768
16,128,1,16384,172.042
16,128,2,16,32.1487
16,128,2,32,34.6663
16,128,2,64,37.1947
16,128,2,128,44.139
16,128,2,256,44.7997
16,128,2,512,52.4043
16,128,2,1024,59.68
16,128,2,2048,77.4713
16,128,2,4096,112.768
16,128,2,8192,178.463
16,128,2,16384,311.21
16,128,4,16,32.3943
16,128,4,32,35.1357
16,128,4,64,38.0483
16,128,4,128,45.5253
16,128,4,256,52.3413
16,128,4,512,60.5437
16,128,4,1024,77.8773
16,128,4,2048,112.192
16,128,4,4096,179.721
16,128,4,8192,311.752
16,128,4,16384,576.168
16,128,8,16,33.3007
16,128,8,32,36.064
16,128,8,64,39.2213
16,128,8,128,53.1203
16,128,8,256,61.514
16,128,8,512,79.083
16,128,8,1024,112.736
16,128,8,2048,179.925
16,128,8,4096,311.753
16,128,8,8192,575.027
16,128,8,16384,1105.18
16,128,16,16,36.0213
16,128,16,32,41.461
16,128,16,64,46.3023
16,128,16,128,56.7567
16,128,16,256,73.7707
16,128,16,512,107.99
16,128,16,1024,174.485
16,128,16,2048,307.785
16,128,16,4096,571.56
16,128,16,8192,1100.31
16,128,16,16384,2157.78
16,128,32,16,42.624
16,128,32,32,52.9063
16,128,32,64,64.0743
16,128,32,128,81.0337
16,128,32,256,114.697
16,128,32,512,180.235
16,128,32,1024,311.412
16,128,32,2048,572.542
16,128,32,4096,1096.55
16,128,32,8192,2145.51
16,128,32,16384,4239.81
16,128,64,16,56.021
16,128,64,32,73.845
16,128,64,64,92.6393
16,128,64,128,127.274
16,128,64,256,192.405
16,128,64,512,323.412
16,128,64,1024,580.968
16,128,64,2048,1097.85
16,128,64,4096,2133.12
16,128,64,8192,4205.93
16,128,64,16384,8352.09
16,128,128,16,80.3513
16,128,128,32,112.373
16,128,128,64,144.469
16,128,128,128,212.127
16,128,128,256,340.265
16,128,128,512,597.384
16,128,128,1024,1110.17
16,128,128,2048,2129.73
16,128,128,4096,4179.19
16,128,128,8192,8276.38
16,256,0,0,25.6423
16,256,1,16,32.4477
16,256,1,32,34.859
16,256,1,64,37.4707
16,256,1,128,43.7543
16,256,1,256,44.1913
16,256,1,512,44.906
16,256,1,1024,51.403
16,256,1,2048,56.736
16,256,1,4096,75.36
16,256,1,8192,110.166
16,256,1,16384,171.743
16,256,2,16,32.448
16,256,2,32,35.0933
16,256,2,64,37.6423
16,256,2,128,44.3843
16,256,2,256,45.248
16,256,2,512,52.5433
16,256,2,1024,60.096
16,256,2,2048,77.621
16,256,2,4096,113.162
16,256,2,8192,178.848
16,256,2,16384,310.804
16,256,4,16,33.0457
16,256,4,32,35.5843
16,256,4,64,38.5383
16,256,4,128,45.803
16,256,4,256,52.522
16,256,4,512,60.9913
16,256,4,1024,78.2183
16,256,4,2048,112.831
16,256,4,4096,179.029
16,256,4,8192,312.703
16,256,4,16384,575.561
16,256,8,16,33.653
16,256,8,32,36.6717
16,256,8,64,39.9467
16,256,8,128,53.6203
16,256,8,256,61.9723
16,256,8,512,79.3813
16,256,8,1024,113.589
16,256,8,2048,178.347
16,256,8,4096,312.511
16,256,8,8192,577.972
16,256,8,16384,1108.28
16,256,16,16,36.6717
16,256,16,32,42.144
16,256,16,64,47.029
16,256,16,128,57.503
16,256,16,256,74.2397
16,256,16,512,108.906
16,256,16,1024,177.834
16,256,16,2048,310.335
16,256,16,4096,576.595
16,256,16,8192,1107.99
16,256,16,16384,2168.75
16,256,32,16,43.4457
16,256,32,32,53.5677
16,256,32,64,64.5327
16,256,32,128,82.794
16,256,32,256,114.879
16,256,32,512,180.853
16,256,32,1024,312.555
16,256,32,2048,575.347
16,256,32,4096,1097.63
16,256,32,8192,2143.51
16,256,32,16384,4233.25
16,256,64,16,56.6937
16,256,64,32,74.6873
16,256,64,64,93.1087
16,256,64,128,128.554
16,256,64,256,191.978
16,256,64,512,323.188
16,256,64,1024,582.28
16,256,64,2048,1097.48
16,256,64,4096,2134.13
16,256,64,8192,4207.13
16,256,64,16384,8349.71
16,256,128,16,81.0767
16,256,128,32,114.014
16,256,128,64,145.589
16,256,128,128,212.329
16,256,128,256,340.287
16,256,128,512,597.726
16,256,128,1024,1107.93
16,256,128,2048,2129.28
16,256,128,4096,4172.8
16,256,128,8192,8274.88
16,512,0,0,27.1147
16,512,1,16,33.344
16,512,1,32,35.957
16,512,1,64,38.549
16,512,1,128,44.9067
16,512,1,256,45.195
16,512,1,512,46.0583
16,512,1,1024,52.853
16,512,1,2048,59.062
16,512,1,4096,76.7573
16,512,1,8192,111.52
16,512,1,16384,175.466
16,512,2,16,33.3333
16,512,2,32,35.9147
16,512,2,64,38.5487
16,512,2,128,45.2477
16,512,2,256,46.0693
16,512,2,512,53.4613
16,512,2,1024,61.3223
16,512,2,2048,79.061
16,512,2,4096,114.858
16,512,2,8192,182.015
16,512,2,16384,314.622
16,512,4,16,33.6637
16,512,4,32,36.5113
16,512,4,64,39.413
16,512,4,128,46.6133
16,512,4,256,53.6423
16,512,4,512,62.6023
16,512,4,1024,80.3093
16,512,4,2048,114.889
16,512,4,4096,183.434
16,512,4,8192,317.193
16,512,4,16384,580.286
16,512,8,16,34.4097
16,512,8,32,37.4287
16,512,8,64,40.757
16,512,8,128,54.7093
16,512,8,256,62.7517
16,512,8,512,79.8393
16,512,8,1024,114.538
16,512,8,2048,180.778
16,512,8,4096,314.026
16,512,8,8192,577.737
16,512,8,16384,1111.28
16,512,16,16,37.9307
16,512,16,32,43.9363
16,512,16,64,49.056
16,512,16,128,58.7513
16,512,16,256,76.3297
16,512,16,512,111.893
16,512,16,1024,177.546
16,512,16,2048,310.868
16,512,16,4096,578.152
16,512,16,8192,1111.77
16,512,16,16384,2175.31
16,512,32,16,44.4157
16,512,32,32,55.0817
16,512,32,64,66.1653
16,512,32,128,83.573
16,512,32,256,116.991
16,512,32,512,182.195
16,512,32,1024,313.791
16,512,32,2048,576.329
16,512,32,4096,1098.19
16,512,32,8192,2144.82
16,512,32,16384,4237.63
16,512,64,16,58.1543
16,512,64,32,76.3727
16,512,64,64,94.7737
16,512,64,128,129.771
16,512,64,256,193.514
16,512,64,512,324.319
16,512,64,1024,582.974
16,512,64,2048,1100.45
16,512,64,4096,2135.64
16,512,64,8192,4208.34
16,512,64,16384,8356.16
16,512,128,16,81.8137
16,512,128,32,114.89
16,512,128,64,146.421
16,512,128,128,213.727
16,512,128,256,339.603
16,512,128,512,598.835
16,512,128,1024,1107.43
