pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.4009,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.4003,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.3982,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.3967,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.401,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.406,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.5042,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.5083,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.5076,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.506,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.5057,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.5076,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.4736,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.4646,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.4813,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.4834,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.4601,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.4731,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.4943,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.4946,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.4957,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.4982,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.4975,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.4943,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.9443,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.9451,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.9537,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.9452,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.9508,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.9473,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.8826,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.8947,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.8974,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.8892,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.8981,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.8955,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.9286,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.9366,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.9274,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.9341,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.9312,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.942,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.9206,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.9293,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.9291,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.93,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.9199,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.9326,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.8483,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.8738,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.8494,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.8342,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.8701,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.8918,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.916,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.9079,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.9007,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.9124,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.9109,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.9301,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,-0.0326,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,-0.0342,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,-0.0349,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,-0.0407,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,-0.0174,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0164,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.0235,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.0094,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.071,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0384,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.0418,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.0202,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,-0.1354,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.0973,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.1585,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.1398,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.1362,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1507,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.2934,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.3162,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.344,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.3009,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.2963,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.3239,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.3335,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.3165,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.3381,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.2948,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.3034,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.3316,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.2949,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.3001,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.31,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.318,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.335,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.2728,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.316,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.3176,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.2942,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.3109,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.3124,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.3183,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.3115,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.3015,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.2894,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2855,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.3109,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.2832,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.2929,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.3094,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.3063,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.2879,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.3075,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.3037,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.3717,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.3507,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.288,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.2967,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.3273,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.2971,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.2937,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.31,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.3187,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.3571,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.2963,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.3656,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.3297,2
