pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.079,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0944,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0802,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0748,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0662,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0681,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0904,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0953,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0912,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0006,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.036,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0045,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.017,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0166,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0242,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.2435,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.2092,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2405,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.1358,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1177,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.145,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.107,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0484,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.119,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.9347,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.7796,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.8762,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0074,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0867,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0346,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0203,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.013,2
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0198,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.4484,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.4461,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.4419,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.941,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.8926,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.9217,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0694,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.1144,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0743,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.9524,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.9364,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.9413,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.9482,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.9097,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.9411,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,-0.0443,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.2944,2
0,n<=4,sr<=40%,kvB<=4k,kp=0,-0.0558,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0272,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.0512,2
