prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,128,29.6847
16,16,4,256,30.6557
16,16,4,512,37.984
16,16,4,1024,44.7143
16,16,4,2048,63.167
16,16,4,4096,97.8127
16,16,4,8192,165.705
16,16,4,16384,301.618
16,16,8,16,18.0267
16,16,8,32,20.6717
16,16,8,64,23.4983
16,16,8,128,30.7627
16,16,8,256,37.9617
16,16,8,512,45.5997
16,16,8,1024,63.1573
16,16,8,2048,97.6297
16,16,8,4096,168.286
16,16,8,8192,302.407
16,16,8,16384,571.844
16,16,16,16,18.6663
16,16,16,32,21.9197
16,16,16,64,25.0457
16,16,16,128,38.8683
16,16,16,256,45.7067
16,16,16,512,63.4663
16,16,16,1024,96.5107
16,16,16,2048,163.827
16,16,16,4096,299.25
16,16,16,8192,570.212
16,16,16,16384,1108.04
16,16,32,16,21.792
16,16,32,32,27.488
16,16,32,64,32.522
16,16,32,128,42.4633
16,16,32,256,60.2873
16,16,32,512,94.506
16,16,32,1024,162.547
16,16,32,2048,298.61
16,16,32,4096,568.601
16,16,32,8192,1108.51
16,16,32,16384,2187.25
16,16,64,16,30.6237
16,16,64,32,40.5433
16,16,64,64,50.357
16,16,64,128,67.1347
16,16,64,256,101.461
16,16,64,512,166.196
16,16,64,1024,297.17
16,16,64,2048,558.202
16,16,64,4096,1081.03
16,16,64,8192,2127.85
16,16,64,16384,4218.04
16,16,128,16,43.9247
16,16,128,32,61.077
16,16,128,64,78.943
16,16,128,128,112.82
16,16,128,256,178.622
16,16,128,512,308.188
16,16,128,1024,567.877
16,16,128,2048,1083.26
16,16,128,4096,2114.93
16,16,128,8192,4184.55
16,16,128,16384,8314.36
16,32,0,0,13.2373
16,32,1,16,19.818
16,32,1,32,22.3037
16,32,1,64,24.928
16,32,1,128,31.019
16,32,1,256,31.2217
16,32,1,512,31.7117
16,32,1,1024,32.8853
16,32,1,2048,35.05
16,32,1,4096,44.5433
16,32,1,8192,62.901
16,32,1,16384,98.463
16,32,2,16,19.7537
16,32,2,32,22.2183
16,32,2,64,24.971
16,32,2,128,31.242
16,32,2,256,31.4877
16,32,2,512,32.6933
16,32,2,1024,39.584
16,32,2,2048,43.946
16,32,2,4096,62.602
16,32,2,8192,98.1537
16,32,2,16384,162.505
16,32,4,16,19.872
16,32,4,32,22.3037
16,32,4,64,25.1303
16,32,4,128,31.8727
16,32,4,256,32.874
16,32,4,512,39.7757
16,32,4,1024,46.8157
16,32,4,2048,64.9807
16,32,4,4096,99.4123
16,32,4,8192,167.295
16,32,4,16384,303.293
16,32,8,16,20.2773
16,32,8,32,22.8797
16,32,8,64,25.717
16,32,8,128,33.024
16,32,8,256,40.2027
16,32,8,512,47.9033
16,32,8,1024,65.4923
16,32,8,2048,100.991
16,32,8,4096,169.118
16,32,8,8192,304.06
16,32,8,16384,573.53
16,32,16,16,20.9703
16,32,16,32,24.1803
16,32,16,64,27.3703
16,32,16,128,41.1723
16,32,16,256,48.5863
16,32,16,512,65.3
16,32,16,1024,98.879
16,32,16,2048,166.42
16,32,16,4096,302.055
16,32,16,8192,570.661
16,32,16,16384,1112.59
16,32,32,16,24.1597
16,32,32,32,29.813
16,32,32,64,34.8793
16,32,32,128,44.6077
16,32,32,256,62.1433
16,32,32,512,96.8427
16,32,32,1024,165.364
16,32,32,2048,300.861
16,32,32,4096,571.951
16,32,32,8192,1110.55
16,32,32,16384,2188.46
16,32,64,16,32.7247
16,32,64,32,42.6553
16,32,64,64,52.394
16,32,64,128,69.535
16,32,64,256,102.911
16,32,64,512,168.617
16,32,64,1024,298.514
16,32,64,2048,560.485
16,32,64,4096,1082.93
16,32,64,8192,2130.88
16,32,64,16384,4218.86
16,32,128,16,46.293
16,32,128,32,63.189
16,32,128,64,81.215
16,32,128,128,114.953
16,32,128,256,181.14
16,32,128,512,310.269
16,32,128,1024,568.57
16,32,128,2048,1084.57
16,32,128,4096,2116.98
16,32,128,8192,4183.87
16,32,128,16384,8327.19
16,64,0,0,15.7543
16,64,1,16,22.4737
16,64,1,32,24.8533
16,64,1,64,27.478
16,64,1,128,33.728
16,64,1,256,33.8227
16,64,1,512,34.3573
16,64,1,1024,35.648
16,64,1,2048,37.6203
16,64,1,4096,47.925
16,64,1,8192,65.418
16,64,1,16384,100.361
16,64,2,16,22.3357
16,64,2,32,24.863
16,64,2,64,27.5307
16,64,2,128,33.77
16,64,2,256,34.006
16,64,2,512,35.4347
16,64,2,1024,42.2077
16,64,2,2048,46.7297
16,64,2,4096,64.1377
16,64,2,8192,101.023
16,64,2,16384,166.089
16,64,4,16,22.442
16,64,4,32,24.8957
16,64,4,64,27.7223
16,64,4,128,34.506
16,64,4,256,35.3593
16,64,4,512,42.5917
16,64,4,1024,49.7483
16,64,4,2048,68.0417
16,64,4,4096,102.548
16,64,4,8192,170.963
16,64,4,16384,305.8
16,64,8,16,22.7617
16,64,8,32,25.5247
16,64,8,64,28.181
16,64,8,128,35.6257
16,64,8,256,42.5593
16,64,8,512,50.5813
16,64,8,1024,68.3513
16,64,8,2048,103.188
16,64,8,4096,171.86
16,64,8,8192,307.047
16,64,8,16384,576.921
16,64,16,16,23.466
16,64,16,32,26.837
16,64,16,64,30.047
16,64,16,128,43.7757
16,64,16,256,50.9433
16,64,16,512,68.1917
16,64,16,1024,101.845
16,64,16,2048,169.449
16,64,16,4096,304.605
16,64,16,8192,574.969
16,64,16,16384,1113.28
16,64,32,16,26.6237
16,64,32,32,32.4153
16,64,32,64,37.2687
16,64,32,128,46.7733
16,64,32,256,64.6923
16,64,32,512,99.7857
16,64,32,1024,168.575
16,64,32,2048,303.634
16,64,32,4096,572.389
16,64,32,8192,1111.16
16,64,32,16384,2193.49
16,64,64,16,35.4133
16,64,64,32,45.2153
16,64,64,64,55.648
16,64,64,128,72.6927
16,64,64,256,105.61
16,64,64,512,170.708
16,64,64,1024,301.736
16,64,64,2048,563.93
16,64,64,4096,1087.15
16,64,64,8192,2130.12
16,64,64,16384,4223.21
16,64,128,16,48.8523
16,64,128,32,65.77
16,64,128,64,83.85
16,64,128,128,118.441
16,64,128,256,183.166
16,64,128,512,312.711
16,64,128,1024,570.885
16,64,128,2048,1087.38
16,64,128,4096,2121.53
16,64,128,8192,4188.81
16,64,128,16384,8325.03
16,128,0,0,23.0717
16,128,1,16,29.9733
16,128,1,32,32.4153
16,128,1,64,34.9547
16,128,1,128,41.461
16,128,1,256,41.653
16,128,1,512,42.0047
16,128,1,1024,43.125
16,128,1,2048,45.386
16,128,1,4096,55.562
16,128,1,8192,73.887
16,128,1,16384,108.863
16,128,2,16,30.09
16,128,2,32,32.5547
16,128,2,64,35.2317
16,128,2,128,41.705
16,128,2,256,41.642
16,128,2,512,42.4743
16,128,2,1024,49.6317
16,128,2,2048,54.7087
16,128,2,4096,73.3
16,128,2,8192,109.108
16,128,2,16384,172.649
16,128,4,16,30.1117
16,128,4,32,32.714
16,128,4,64,35.5947
16,128,4,128,42.1537
16,128,4,256,42.6977
16,128,4,512,50.377
16,128,4,1024,57.8987
16,128,4,2048,76.66
16,128,4,4096,110.218
16,128,4,8192,179.337
16,128,4,16384,313.96
16,128,8,16,30.6763
16,128,8,32,33.2913
16,128,8,64,36.224
16,128,8,128,43.2417
16,128,8,256,50.218
16,128,8,512,57.909
16,128,8,1024,76.4157
16,128,8,2048,111.07
16,128,8,4096,178.633
16,128,8,8192,315.687
16,128,8,16384,581.935
16,128,16,16,31.178
16,128,16,32,34.4533
16,128,16,64,37.7067
16,128,16,128,51.5403
16,128,16,256,59.0077
16,128,16,512,76.3513
16,128,16,1024,109.759
16,128,16,2048,176.723
16,128,16,4096,311.454
16,128,16,8192,582.394
16,128,16,16384,1123.58
16,128,32,16,34.6137
16,128,32,32,40.1807
16,128,32,64,45.0557
16,128,32,128,54.9107
16,128,32,256,73.0647
16,128,32,512,107.38
16,128,32,1024,175.305
16,128,32,2048,310.888
16,128,32,4096,579.61
16,128,32,8192,1119.33
16,128,32,16384,2199.76
16,128,64,16,43.0187
16,128,64,32,52.9063
16,128,64,64,63.1893
16,128,64,128,80.2563
16,128,64,256,113.407
16,128,64,512,179.304
16,128,64,1024,309.896
16,128,64,2048,571.3
16,128,64,4096,1092.5
16,128,64,8192,2141.27
16,128,64,16384,4230.81
16,128,128,16,56.3303
16,128,128,32,73.4287
16,128,128,64,91.7963
16,128,128,128,125.172
16,128,128,256,191.497
16,128,128,512,319.73
16,128,128,1024,578.875
16,128,128,2048,1094.44
16,128,128,4096,2127.01
16,128,128,8192,4189.5
16,128,128,16384,8337.07
16,256,0,0,23.1997
16,256,1,16,30.0803
16,256,1,32,32.469
16,256,1,64,35.093
16,256,1,128,41.5033
16,256,1,256,41.7597
16,256,1,512,42.2503
16,256,1,1024,43.1987
16,256,1,2048,45.2903
16,256,1,4096,55.8287
