pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.0101,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.0083,2
16,n<=4,sr<=70%,kvB<=1k,kp=0,0.081,4
16,n<=4,sr>70%,kvB<=1k,kp<=1k,0.055,2
16,n<=4,sr>70%,kvB<=1k,kp<=512,0.0386,2
16,n<=4,sr>70%,kvB<=1k,kp=0,0.008,2
16,n<=64,sr<=15%,kvB<=1k,kp<=1k,0.1601,4
16,n<=64,sr<=15%,kvB<=1k,kp<=512,0.1569,4
16,n<=64,sr<=15%,kvB<=1k,kp=0,0.1589,4
16,n<=64,sr<=40%,kvB<=1k,kp<=1k,0.1237,2
16,n<=64,sr<=40%,kvB<=1k,kp<=512,0.1416,2
16,n<=64,sr<=40%,kvB<=1k,kp=0,0.1227,2
16,n<=64,sr<=5%,kvB<=1k,kp<=1k,0.1517,6
16,n<=64,sr<=5%,kvB<=1k,kp<=512,0.148,6
16,n<=64,sr<=5%,kvB<=1k,kp=0,0.1595,6
16,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.1879,2
16,n<=64,sr<=70%,kvB<=1k,kp<=512,0.1918,2
16,n<=64,sr<=70%,kvB<=1k,kp=0,0.1719,2
16,n<=64,sr>70%,kvB<=1k,kp<=1k,0.2284,4
16,n<=64,sr>70%,kvB<=1k,kp<=512,0.1777,4
16,n<=64,sr>70%,kvB<=1k,kp=0,0.2011,4
16,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.1477,2
16,n<=8,sr<=15%,kvB<=1k,kp<=512,0.1448,2
16,n<=8,sr<=15%,kvB<=1k,kp=0,0.1027,5
16,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.0631,4
16,n<=8,sr<=40%,kvB<=1k,kp<=512,0.049,4
16,n<=8,sr<=40%,kvB<=1k,kp=0,0.0604,4
16,n<=8,sr<=70%,kvB<=1k,kp<=1k,0.0466,2
16,n<=8,sr<=70%,kvB<=1k,kp<=512,0.0151,2
16,n<=8,sr<=70%,kvB<=1k,kp=0,0.0487,2
16,n<=8,sr>70%,kvB<=1k,kp<=1k,0.8701,4
16,n<=8,sr>70%,kvB<=1k,kp<=512,0.8437,4
16,n<=8,sr>70%,kvB<=1k,kp=0,0.926,4
32,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.043,4
32,n<=128,sr<=15%,kvB<=1k,kp<=512,0.042,4
32,n<=128,sr<=15%,kvB<=1k,kp=0,0.0428,4
32,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0254,2
32,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0339,2
32,n<=128,sr<=40%,kvB<=1k,kp=0,0.0329,2
32,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0533,8
32,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0538,8
32,n<=128,sr<=5%,kvB<=1k,kp=0,0.0554,8
32,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0192,2
32,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0147,2
32,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0159,2
32,n<=128,sr>70%,kvB<=1k,kp<=1k,-0.0649,4
32,n<=128,sr>70%,kvB<=1k,kp<=512,-0.0586,4
32,n<=128,sr>70%,kvB<=1k,kp=0,-0.0627,4
32,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.4269,4
32,n<=16,sr<=15%,kvB<=1k,kp<=512,0.4172,4
32,n<=16,sr<=15%,kvB<=1k,kp=0,0.4232,4
32,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.4839,4
32,n<=16,sr<=40%,kvB<=1k,kp<=512,0.4803,4
32,n<=16,sr<=40%,kvB<=1k,kp=0,0.48,4
32,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.8795,2
32,n<=16,sr<=70%,kvB<=1k,kp<=512,0.9028,2
32,n<=16,sr<=70%,kvB<=1k,kp=0,0.9047,2
32,n<=16,sr>70%,kvB<=1k,kp<=1k,0.8778,4
32,n<=16,sr>70%,kvB<=1k,kp<=512,0.8551,4
32,n<=16,sr>70%,kvB<=1k,kp=0,0.8631,4
32,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.0489,2
32,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0034,2
32,n<=2,sr<=70%,kvB<=1k,kp=0,0.0571,2
32,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.3424,6
32,n<=32,sr<=15%,kvB<=1k,kp<=512,0.3409,6
32,n<=32,sr<=15%,kvB<=1k,kp=0,0.3469,6
32,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.3074,2
32,n<=32,sr<=40%,kvB<=1k,kp<=512,0.3053,2
32,n<=32,sr<=40%,kvB<=1k,kp=0,0.3114,2
32,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.3377,2
32,n<=32,sr<=5%,kvB<=1k,kp<=512,0.2934,2
32,n<=32,sr<=5%,kvB<=1k,kp=0,0.2962,2
32,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.5649,2
32,n<=32,sr<=70%,kvB<=1k,kp<=512,0.6388,2
32,n<=32,sr<=70%,kvB<=1k,kp=0,0.4771,2
32,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8783,4
32,n<=32,sr>70%,kvB<=1k,kp<=512,0.8726,4
32,n<=32,sr>70%,kvB<=1k,kp=0,0.8664,4
32,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.1794,2
32,n<=4,sr<=40%,kvB<=1k,kp<=512,0.1779,2
32,n<=4,sr<=40%,kvB<=1k,kp=0,0.2034,2
32,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.0074,2
32,n<=4,sr<=70%,kvB<=1k,kp<=512,0.0216,2
32,n<=4,sr<=70%,kvB<=1k,kp=0,0.0079,2
32,n<=4,sr>70%,kvB<=1k,kp<=1k,0.0402,2
32,n<=4,sr>70%,kvB<=1k,kp<=512,0.1469,2
32,n<=4,sr>70%,kvB<=1k,kp=0,-0.0171,2
32,n<=64,sr<=15%,kvB<=1k,kp<=1k,0.1661,4
32,n<=64,sr<=15%,kvB<=1k,kp<=512,0.1631,4
32,n<=64,sr<=15%,kvB<=1k,kp=0,0.1536,4
32,n<=64,sr<=40%,kvB<=1k,kp<=1k,0.1073,2
32,n<=64,sr<=40%,kvB<=1k,kp<=512,0.1244,2
32,n<=64,sr<=40%,kvB<=1k,kp=0,0.1319,2
32,n<=64,sr<=5%,kvB<=1k,kp<=1k,0.1486,6
32,n<=64,sr<=5%,kvB<=1k,kp<=512,0.1578,6
32,n<=64,sr<=5%,kvB<=1k,kp=0,0.1492,6
32,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.1672,2
32,n<=64,sr<=70%,kvB<=1k,kp<=512,0.1628,2
32,n<=64,sr<=70%,kvB<=1k,kp=0,0.1588,2
32,n<=64,sr>70%,kvB<=1k,kp<=1k,0.1804,4
32,n<=64,sr>70%,kvB<=1k,kp<=512,0.2208,4
32,n<=64,sr>70%,kvB<=1k,kp=0,0.2139,4
32,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.1284,2
32,n<=8,sr<=15%,kvB<=1k,kp<=512,0.1392,2
32,n<=8,sr<=15%,kvB<=1k,kp=0,0.1637,2
32,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.041,4
32,n<=8,sr<=40%,kvB<=1k,kp<=512,0.0351,4
32,n<=8,sr<=40%,kvB<=1k,kp=0,0.0618,4
32,n<=8,sr<=70%,kvB<=1k,kp<=1k,0.0388,2
32,n<=8,sr<=70%,kvB<=1k,kp<=512,0.0427,2
32,n<=8,sr<=70%,kvB<=1k,kp=0,0.0257,2
32,n<=8,sr>70%,kvB<=1k,kp<=1k,0.8173,4
32,n<=8,sr>70%,kvB<=1k,kp<=512,0.7663,4
32,n<=8,sr>70%,kvB<=1k,kp=0,0.8521,4
64,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0423,4
64,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0433,4
64,n<=128,sr<=15%,kvB<=1k,kp=0,0.043,4
64,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.034,2
64,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0281,2
64,n<=128,sr<=40%,kvB<=1k,kp=0,0.0321,2
64,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0521,8
64,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0531,8
64,n<=128,sr<=5%,kvB<=1k,kp=0,0.0555,8
64,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0165,2
64,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.015,2
64,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0131,2
64,n<=128,sr>70%,kvB<=1k,kp<=1k,-0.0462,4
64,n<=128,sr>70%,kvB<=1k,kp<=512,-0.0582,4
64,n<=128,sr>70%,kvB<=1k,kp=0,-0.0653,4
64,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.435,4
64,n<=16,sr<=15%,kvB<=1k,kp<=512,0.4209,4
64,n<=16,sr<=15%,kvB<=1k,kp=0,0.4313,4
64,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.4943,4
64,n<=16,sr<=40%,kvB<=1k,kp<=512,0.4796,4
64,n<=16,sr<=40%,kvB<=1k,kp=0,0.4769,4
64,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.887,2
64,n<=16,sr<=70%,kvB<=1k,kp<=512,0.9081,2
64,n<=16,sr<=70%,kvB<=1k,kp=0,0.9194,2
64,n<=16,sr>70%,kvB<=1k,kp<=1k,0.9098,4
64,n<=16,sr>70%,kvB<=1k,kp<=512,0.8971,4
64,n<=16,sr>70%,kvB<=1k,kp=0,0.8955,4
64,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.0009,2
64,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0317,2
64,n<=2,sr<=70%,kvB<=1k,kp=0,0.0202,2
64,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.3072,6
64,n<=32,sr<=15%,kvB<=1k,kp<=512,0.3517,6
64,n<=32,sr<=15%,kvB<=1k,kp=0,0.3231,6
64,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.2933,2
64,n<=32,sr<=40%,kvB<=1k,kp<=512,0.3043,2
64,n<=32,sr<=40%,kvB<=1k,kp=0,0.2971,2
64,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.3202,2
64,n<=32,sr<=5%,kvB<=1k,kp<=512,0.3489,2
64,n<=32,sr<=5%,kvB<=1k,kp=0,0.3005,2
64,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.4331,2
64,n<=32,sr<=70%,kvB<=1k,kp<=512,0.4725,2
64,n<=32,sr<=70%,kvB<=1k,kp=0,0.4761,2
64,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8897,4
64,n<=32,sr>70%,kvB<=1k,kp<=512,0.8556,4
64,n<=32,sr>70%,kvB<=1k,kp=0,0.8645,4
64,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.1594,2
64,n<=4,sr<=40%,kvB<=1k,kp<=512,0.1748,2
64,n<=4,sr<=40%,kvB<=1k,kp=0,0.1889,2
64,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.0049,2
64,n<=4,sr<=70%,kvB<=1k,kp<=512,-0.0035,2
64,n<=4,sr<=70%,kvB<=1k,kp=0,-0.0297,2
64,n<=4,sr>70%,kvB<=1k,kp<=1k,0.1096,2
64,n<=4,sr>70%,kvB<=1k,kp<=512,0.0105,2
64,n<=4,sr>70%,kvB<=1k,kp=0,-0.0057,2
64,n<=64,sr<=15%,kvB<=1k,kp<=1k,0.1688,4
64,n<=64,sr<=15%,kvB<=1k,kp<=512,0.1481,4
64,n<=64,sr<=15%,kvB<=1k,kp=0,0.1751,4
64,n<=64,sr<=40%,kvB<=1k,kp<=1k,0.1344,2
64,n<=64,sr<=40%,kvB<=1k,kp<=512,0.1108,2
64,n<=64,sr<=40%,kvB<=1k,kp=0,0.1238,2
64,n<=64,sr<=5%,kvB<=1k,kp<=1k,0.1513,6
64,n<=64,sr<=5%,kvB<=1k,kp<=512,0.159,6
64,n<=64,sr<=5%,kvB<=1k,kp=0,0.1437,6
64,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.1529,2
64,n<=64,sr<=70%,kvB<=1k,kp<=512,0.168,2
64,n<=64,sr<=70%,kvB<=1k,kp=0,0.1676,2
64,n<=64,sr>70%,kvB<=1k,kp<=1k,0.2282,4
64,n<=64,sr>70%,kvB<=1k,kp<=512,0.1646,4
