prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,32,512,166.795
16,32,32,1024,299.266
16,32,64,16,44.1707
16,32,64,32,61.6637
16,32,64,64,80.1497
16,32,64,128,114.571
16,32,64,256,179.084
16,32,64,512,309.411
16,32,64,1024,568.141
16,32,128,16,69.035
16,32,128,32,100.929
16,32,128,64,132.651
16,32,128,128,200.299
16,32,128,256,326.913
16,32,128,512,586.691
16,32,128,1024,1092.6
16,64,0,0,15.947
16,64,1,16,22.443
16,64,1,32,24.9497
16,64,1,64,27.52
16,64,1,128,34.0587
16,64,1,256,34.7527
16,64,1,512,35.104
16,64,1,1024,42.4213
16,64,2,16,22.4533
16,64,2,32,24.939
16,64,2,64,27.5523
16,64,2,128,34.8167
16,64,2,256,35.211
16,64,2,512,42.6883
16,64,2,1024,49.8783
16,64,4,16,22.7837
16,64,4,32,25.5253
16,64,4,64,28.747
16,64,4,128,35.819
16,64,4,256,41.984
16,64,4,512,50.325
16,64,4,1024,67.8507
16,64,8,16,23.5093
16,64,8,32,26.7623
16,64,8,64,29.76
16,64,8,128,43.7223
16,64,8,256,51.2857
16,64,8,512,68.4907
16,64,8,1024,101.91
16,64,16,16,26.7843
16,64,16,32,32.608
16,64,16,64,37.44
16,64,16,128,47.7767
16,64,16,256,64.4597
16,64,16,512,99.0517
16,64,16,1024,165.996
16,64,32,16,33.376
16,64,32,32,43.1677
16,64,32,64,53.2903
16,64,32,128,71.1467
16,64,32,256,104.715
16,64,32,512,170.38
16,64,32,1024,300.396
16,64,64,16,46.763
16,64,64,32,64.2033
16,64,64,64,82.6457
16,64,64,128,117.142
16,64,64,256,181.943
16,64,64,512,311.692
16,64,64,1024,571.726
16,64,128,16,71.6273
16,64,128,32,103.211
16,64,128,64,134.582
16,64,128,128,203.542
16,64,128,256,329.793
16,64,128,512,586.243
16,64,128,1024,1097.07
16,128,0,0,25.3007
16,128,1,16,32.1603
16,128,1,32,34.923
16,128,1,64,37.1947
16,128,1,128,43.5523
16,128,1,256,44.0853
16,128,1,512,44.8103
16,128,1,1024,51.756
16,128,2,16,32.4063
16,128,2,32,34.667
16,128,2,64,37.536
16,128,2,128,44.161
16,128,2,256,44.7473
16,128,2,512,51.947
16,128,2,1024,59.6177
16,128,4,16,32.5337
16,128,4,32,35.478
16,128,4,64,38.5713
16,128,4,128,45.6637
16,128,4,256,52.0527
16,128,4,512,60.2453
16,128,4,1024,78.497
16,128,8,16,33.3127
16,128,8,32,36.459
16,128,8,64,39.5737
16,128,8,128,52.9607
16,128,8,256,61.088
16,128,8,512,78.87
16,128,8,1024,112.162
16,128,16,16,36.491
16,128,16,32,42.048
16,128,16,64,47.424
16,128,16,128,57.7607
16,128,16,256,74.6033
16,128,16,512,108.555
16,128,16,1024,176.278
16,128,32,16,43.008
16,128,32,32,53.4517
16,128,32,64,63.7977
16,128,32,128,81.1953
16,128,32,256,114.315
16,128,32,512,180.726
16,128,32,1024,313.228
16,128,64,16,56.832
16,128,64,32,74.496
16,128,64,64,93.121
16,128,64,128,127.574
16,128,64,256,192.385
16,128,64,512,323.095
16,128,64,1024,581.475
16,128,128,16,81.419
16,128,128,32,113.057
16,128,128,64,145.259
16,128,128,128,212.555
16,128,128,256,339.831
16,128,128,512,596.249
16,128,128,1024,1109.38
16,256,0,0,25.8243
16,256,1,16,32.5767
16,256,1,32,34.784
16,256,1,64,37.653
16,256,1,128,43.915
16,256,1,256,44.288
16,256,1,512,45.2803
16,256,1,1024,52.0747
16,256,2,16,32.64
16,256,2,32,34.966
16,256,2,64,37.7703
16,256,2,128,44.3517
16,256,2,256,44.992
16,256,2,512,52.0967
16,256,2,1024,60.3633
16,256,4,16,33.1523
16,256,4,32,35.4777
16,256,4,64,38.8593
16,256,4,128,45.888
16,256,4,256,52.4057
16,256,4,512,60.9497
16,256,4,1024,78.6247
16,256,8,16,33.5467
16,256,8,32,36.715
16,256,8,64,39.4877
16,256,8,128,53.2483
16,256,8,256,61.3443
16,256,8,512,79.8927
16,256,8,1024,113.003
16,256,16,16,36.9607
16,256,16,32,42.293
16,256,16,64,47.5523
16,256,16,128,58.486
16,256,16,256,75.158
16,256,16,512,110.028
16,256,16,1024,177.163
16,256,32,16,43.2
16,256,32,32,54.0163
16,256,32,64,64.3523
16,256,32,128,82.123
16,256,32,256,114.774
16,256,32,512,181.376
16,256,32,1024,312.588
16,256,64,16,57.3767
16,256,64,32,75.0293
16,256,64,64,93.3977
16,256,64,128,127.755
16,256,64,256,192.321
16,256,64,512,322.998
16,256,64,1024,580.909
16,256,128,16,81.5893
16,256,128,32,113.44
16,256,128,64,146.081
16,256,128,128,212.897
16,256,128,256,340.663
16,256,128,512,597.539
16,256,128,1024,1106.04
16,512,0,0,26.912
16,512,1,16,33.365
16,512,1,32,35.6057
16,512,1,64,38.3683
16,512,1,128,44.747
16,512,1,256,45.0987
16,512,1,512,45.8447
16,512,1,1024,53.3017
16,512,2,16,33.398
16,512,2,32,35.733
16,512,2,64,38.4323
16,512,2,128,45.2483
16,512,2,256,45.8347
16,512,2,512,52.9493
16,512,2,1024,61.3877
16,512,4,16,33.867
16,512,4,32,36.406
16,512,4,64,39.5413
16,512,4,128,46.5067
16,512,4,256,53.568
16,512,4,512,62.1227
16,512,4,1024,79.381
16,512,8,16,34.5067
16,512,8,32,37.579
16,512,8,64,40.5967
16,512,8,128,54.25
16,512,8,256,62.4747
16,512,8,512,81.099
16,512,8,1024,115.425
16,512,16,16,37.5893
16,512,16,32,43.7867
16,512,16,64,49.5997
16,512,16,128,59.2747
16,512,16,256,75.808
16,512,16,512,110.507
16,512,16,1024,179.798
16,512,32,16,44.64
16,512,32,32,55.6483
16,512,32,64,66.027
16,512,32,128,83.787
16,512,32,256,116.203
16,512,32,512,183.03
16,512,32,1024,313.58
16,512,64,16,58.048
16,512,64,32,76.3317
16,512,64,64,93.5683
16,512,64,128,128.64
16,512,64,256,193.346
16,512,64,512,324.833
16,512,64,1024,583.085
16,512,128,16,82.795
16,512,128,32,115.158
16,512,128,64,146.464
16,512,128,128,213.718
16,512,128,256,340.929
16,512,128,512,597.528
16,512,128,1024,1107.22
16,1024,0,0,34.0583
16,1024,1,16,41.3757
16,1024,1,32,43.3487
16,1024,1,64,46.5597
16,1024,1,128,52.394
16,1024,1,256,53.0997
16,1024,1,512,53.6427
16,1024,1,1024,60.523
16,1024,2,16,41.024
16,1024,2,32,43.04
16,1024,2,64,46.294
16,1024,2,128,52.683
16,1024,2,256,53.6533
16,1024,2,512,61.0773
16,1024,2,1024,68.9917
16,1024,4,16,41.2377
16,1024,4,32,43.7977
16,1024,4,64,46.9443
16,1024,4,128,54.1437
16,1024,4,256,61.1307
16,1024,4,512,70.101
16,1024,4,1024,88.3623
16,1024,8,16,42.3147
16,1024,8,32,45.4617
16,1024,8,64,48.491
16,1024,8,128,62.496
16,1024,8,256,71.0513
16,1024,8,512,87.883
16,1024,8,1024,121.921
16,1024,16,16,45.7067
16,1024,16,32,51.35
16,1024,16,64,56.2673
16,1024,16,128,66.5923
16,1024,16,256,84.619
16,1024,16,512,118.39
16,1024,16,1024,185.899
16,1024,32,16,52.65
16,1024,32,32,62.9123
16,1024,32,64,73.6747
16,1024,32,128,90.667
16,1024,32,256,124.032
16,1024,32,512,190.4
16,1024,32,1024,321.537
16,1024,64,16,65.866
16,1024,64,32,83.9357
16,1024,64,64,101.921
16,1024,64,128,136.993
16,1024,64,256,201.281
16,1024,64,512,331.212
16,1024,64,1024,588.654
16,1024,128,16,89.899
16,1024,128,32,122.72
16,1024,128,64,154.283
16,1024,128,128,220.289
16,1024,128,256,348.151
16,1024,128,512,605.688
16,1024,128,1024,1115.7
32,0,0,0,22.6983
32,0,1,16,29.377
32,0,1,32,31.8613
32,0,1,64,34.56
32,0,1,128,40.8757
